stage,fraction,step,target_amplitude,tensor_residual,max_abs_amplitude
0,0.8,0,1.0185315057450786,1.0652017723489673,5.756342723159614
0,0.8,50,1.0185315057450786,0.052278751709960075,5.705007821910353
0,0.8,100,1.0185315057450786,0.009050180931592202,5.697350228543402
0,0.8,150,1.0185315057450786,0.0058373463418790105,5.695946109920328
0,0.8,179,1.0185315057450786,0.004485556331665778,5.696026242912976
1,0.6,0,0.7638986293088088,0.2512999961551295,5.696019114027325
1,0.6,50,0.7638986293088088,0.23624771871140163,5.69712815769263
1,0.6,100,0.7638986293088088,0.23616273091248305,5.69670267479061
1,0.6,150,0.7638986293088088,0.2361742494557655,5.696921836077039
1,0.6,179,0.7638986293088088,0.23618207849354997,5.696188675833834
2,0.4,0,0.5092657528725393,0.4908434278017886,5.696168210090662
2,0.4,50,0.5092657528725393,0.49081060937475407,5.695527066603312
2,0.4,100,0.5092657528725393,0.49087737516105595,5.695590226410697
2,0.4,150,0.5092657528725393,0.4908587094396141,5.693601234574063
2,0.4,179,0.5092657528725393,0.4907580077072065,5.693506733428917
3,0.2,0,0.25463287643626964,0.7453823678998148,5.6934940887333285
3,0.2,50,0.25463287643626964,0.7456353412868264,5.689822361083986
3,0.2,100,0.25463287643626964,0.7453996051848155,5.687869671522961
3,0.2,150,0.25463287643626964,0.7456435074587254,5.685751081240771
3,0.2,179,0.25463287643626964,0.7455704981024724,5.684558212035718
4,0.0,0,0.0,1.000182090087856,5.684523450251459
4,0.0,50,0.0,1.0000768391905979,5.676625765459751
4,0.0,100,0.0,1.0002042003347513,5.669476249014509
4,0.0,150,0.0,1.0000789165622046,5.665521188919874
4,0.0,200,0.0,1.0000442470233784,5.654187994223367
4,0.0,250,0.0,1.0014404279187354,5.646536111542646
4,0.0,300,0.0,1.0000134919346624,5.636219687146411
4,0.0,350,0.0,1.0012868940809796,5.624982551701262
4,0.0,400,0.0,1.0000115730170025,5.615092549284161
4,0.0,450,0.0,1.000132119313308,5.59465294672487
4,0.0,500,0.0,1.0000113884302642,5.591237228406573
4,0.0,550,0.0,1.0001778686638816,5.5669850771272795
4,0.0,600,0.0,1.00026683904561,5.562128043672491
4,0.0,650,0.0,1.0009882080778907,5.5481880020119005
4,0.0,699,0.0,1.000636376220781,5.531730913827397
