r,s,initial_cos_u,initial_cos_v,initial_cos_w,best_sign_u,best_sign_v,best_sign_w,tangent_grad_norm,zero_pair_amp_dim,constrained_collision_curvature
2,5,0.0,0.0,0.0,-1.0,1.0,-1.0,5.1618947662054814e-17,18,0.3333333333333334
3,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18,0.33333333333333337
0,7,0.0,0.0,0.0,-1.0,-1.0,1.0,9.832850000499963e-17,18,0.33333333333333326
1,6,0.0,0.0,0.0,-1.0,1.0,-1.0,5.456409930572101e-17,18,0.3333333333333332
4,6,0.0,0.0,1.0,1.0,-1.0,-1.0,0.6666666666666665,19,0.16666666666666696
0,4,0.0,1.0,0.0,-1.0,-1.0,1.0,0.6666666666666665,19,0.1666666666666669
2,3,1.0,0.0,0.0,-1.0,-1.0,1.0,0.6666666666666665,19,0.16666666666666688
0,6,0.0,0.0,0.0,-1.0,-1.0,1.0,0.47140452079103157,18,0.16666666666666685
2,6,0.0,1.0,0.0,1.0,-1.0,-1.0,0.6666666666666666,19,0.16666666666666685
3,5,0.0,0.0,0.0,-1.0,-1.0,1.0,0.4714045207910317,18,0.16666666666666685
3,7,0.0,1.0,0.0,1.0,-1.0,-1.0,0.6666666666666666,19,0.16666666666666682
4,7,0.0,0.0,0.0,-1.0,-1.0,1.0,0.4714045207910317,18,0.16666666666666682
5,6,0.0,0.0,0.0,1.0,-1.0,-1.0,0.4714045207910316,18,0.1666666666666668
0,2,0.0,0.0,1.0,-1.0,1.0,-1.0,0.6666666666666665,19,0.16666666666666677
1,3,0.0,0.0,1.0,1.0,-1.0,-1.0,0.6666666666666665,19,0.16666666666666677
1,7,0.0,0.0,0.0,-1.0,-1.0,1.0,0.47140452079103157,18,0.16666666666666674
2,7,0.0,0.0,0.0,1.0,1.0,1.0,0.47140452079103157,18,0.16666666666666674
3,6,0.0,0.0,0.0,-1.0,-1.0,1.0,0.4714045207910316,18,0.16666666666666674
4,5,1.0,0.0,0.0,-1.0,-1.0,1.0,0.6666666666666666,19,0.1666666666666667
0,1,1.0,0.0,0.0,-1.0,-1.0,1.0,0.6666666666666666,19,0.16666666666666666
6,7,1.0,0.0,0.0,-1.0,1.0,-1.0,0.6666666666666666,19,0.16666666666666666
0,5,0.0,0.0,0.0,-1.0,-1.0,1.0,0.4714045207910316,18,0.16666666666666663
1,2,0.0,0.0,0.0,-1.0,-1.0,1.0,0.4714045207910316,18,0.16666666666666663
1,4,0.0,0.0,0.0,1.0,1.0,1.0,0.4714045207910316,18,0.16666666666666663
1,5,0.0,1.0,0.0,1.0,-1.0,-1.0,0.6666666666666666,19,0.16666666666666663
5,7,0.0,0.0,1.0,1.0,-1.0,-1.0,0.6666666666666666,19,0.16666666666666663
0,3,0.0,0.0,0.0,-1.0,1.0,-1.0,0.4714045207910315,18,0.1666666666666666
2,4,0.0,0.0,0.0,-1.0,-1.0,1.0,0.47140452079103157,18,0.16666666666666657
