step,collision_value,cos_u,cos_v,cos_w,amp_r,amp_s,max_abs_amplitude,constraint_residual
0,0.10603273635202905,-0.10603273635202914,0.10603273635202912,-0.10603273635202891,1.0040920716315962,1.004092071631596,1.0557123590135413,2.3142910047866284e-12
1,0.1290912101917341,-0.12909121019173414,0.1290912101917342,-0.12909121019173397,1.0065487410058431,1.0065487410058431,1.0636708731510218,2.882617702565529e-13
2,0.15305224938422848,-0.15305224938422857,0.15305224938422857,-0.1530522493842283,1.010372283477342,1.010372283477342,1.0724692665881526,1.8708511431011871e-13
3,0.17777237423193945,-0.17777237423193953,0.1777723742319395,-0.17777237423193923,1.015413527073722,1.0154135270737221,1.082011852108729,1.2096967881032505e-13
4,0.20311228478850893,-0.20311228478850907,0.203112284788509,-0.2031122847885087,1.021540541063297,1.021540541063297,1.0922173581556305,7.732966622015653e-14
5,0.22894142359791725,-0.22894142359791736,0.22894142359791736,-0.22894142359791708,1.0286326821301843,1.0286326821301839,1.1030157702271821,5.0660401206498e-14
6,0.25514054654218193,-0.255140546542182,0.255140546542182,-0.25514054654218177,1.0365769192579677,1.0365769192579677,1.1143459674457301,3.3855353329658804e-14
7,0.28160292499788103,-0.2816029249978811,0.28160292499788114,-0.28160292499788087,1.0452658104028434,1.0452658104028436,1.126153985051811,2.3319385563533285e-14
8,0.3082346189101397,-0.30823461891013976,0.3082346189101398,-0.3082346189101395,1.05459660831781,1.0545966083178102,1.1383917429122639,1.6979720939761998e-14
9,0.3349541293133133,-0.3349541293133135,0.3349541293133135,-0.33495412931331303,1.0644711010029355,1.0644711010029362,1.1510161126690837,1.3036931871036594e-14
10,0.36169164781190927,-0.36169164781190943,0.36169164781190943,-0.3616916478119091,1.0747959014022568,1.0747959014022572,1.163988227739905,1.0320145563821756e-14
11,0.3883880572661475,-0.38838805726614767,0.38838805726614756,-0.38838805726614734,1.0854829852317294,1.0854829852317294,1.1772729656312824,8.514608779670483e-15
12,0.4149937931002756,-0.4149937931002758,0.41499379310027573,-0.4149937931002755,1.096450339230935,1.0964503392309348,1.1908385511178823,7.332259498734728e-15
13,0.4414676419809032,-0.4414676419809033,0.4414676419809034,-0.441467641980903,1.1076226297867233,1.107622629786723,1.204656243089911,6.54541869274499e-15
14,0.46777553011914635,-0.46777553011914647,0.4677755301191464,-0.4677755301191462,1.1189318376861124,1.1189318376861126,1.21870007848003,6.08567134421882e-15
15,0.4938893347216668,-0.49388933472166685,0.4938893347216669,-0.49388933472166663,1.1303178313007889,1.1303178313007889,1.2329466545153323,5.658620586139518e-15
16,0.519785737711343,-0.5197857377113431,0.5197857377113431,-0.5197857377113428,1.1417288694413052,1.1417288694413052,1.2473749361844517,5.5885695942263855e-15
17,0.5454451298774287,-0.5454451298774288,0.5454451298774288,-0.5454451298774283,1.153122037554112,1.1531220375541116,1.2619660796614167,5.4238954908585004e-15
18,0.5708505655218193,-0.5708505655218196,0.5708505655218195,-0.5708505655218192,1.164463627652528,1.1644636276525284,1.276703264759961,5.685525908647215e-15
19,0.5959867620367931,-0.5959867620367931,0.5959867620367933,-0.5959867620367928,1.175729473897279,1.1757294738972792,1.2915715304827016,5.959687280758625e-15
20,0.6208391353896533,-0.6208391353896534,0.6208391353896532,-0.6208391353896532,1.1869052522854378,1.1869052522854378,1.3065576074602023,6.882806954531729e-15
21,0.6453928610139377,-0.6453928610139379,0.6453928610139377,-0.6453928610139374,1.1979867442496637,1.1979867442496637,1.321649739506865,7.095970274110545e-15
22,0.6696319500330167,-0.6696319500330169,0.6696319500330168,-0.6696319500330167,1.2089800493111782,1.2089800493111782,1.3368374834538597,8.72050536015567e-15
23,0.6935383330754935,-0.6935383330754937,0.6935383330754936,-0.6935383330754933,1.219901709742839,1.2199017097428393,1.3521114714308466,1.0898482780114034e-14
24,0.7170909481983759,-0.717090948198376,0.717090948198376,-0.7170909481983758,1.2307786781555385,1.2307786781555383,1.3674631121240737,1.3730471155486915e-14
25,0.7402648354340045,-0.7402648354340046,0.7402648354340045,-0.7402648354340045,1.2416480140133563,1.241648014013356,1.3828841960709795,1.762622877520893e-14
26,0.763030247400755,-0.7630302474007551,0.7630302474007551,-0.7630302474007549,1.2525561341770244,1.2525561341770242,1.3983663529938015,2.2756370094210915e-14
27,0.7853517909531239,-0.785351790953124,0.785351790953124,-0.7853517909531238,1.2635573638259778,1.2635573638259763,1.4139002839464911,2.9623162183410946e-14
28,0.8071876137186417,-0.8071876137186417,0.8071876137186417,-0.8071876137186416,1.274711439808855,1.2747114398088546,1.4294746539905727,3.6578242277492074e-14
29,0.8284886311174758,-0.828488631117476,0.828488631117476,-0.8284886311174757,1.2860795197861727,1.2860795197861727,1.445074477141759,4.45515777399107e-14
30,0.8491977356920509,-0.849197735692051,0.849197735692051,-0.8491977356920508,1.297718173453775,1.297718173453777,1.4606787473553733,5.101093570048034e-14
31,0.8692488127554728,-0.8692488127554729,0.869248812755473,-0.8692488127554725,1.309670820680514,1.3096708206805134,1.4762569569033586,5.282041984708179e-14
32,0.8885651664422519,-0.8885651664422519,0.888565166442252,-0.8885651664422517,1.3219561873550079,1.321956187355006,1.4917639792224877,5.112935082898763e-14
33,0.9070565967506243,-0.9070565967506243,0.9070565967506243,-0.9070565967506243,1.3345535909341188,1.3345535909341177,1.5071325441395849,5.720913271296983e-14
34,0.9246138281946837,-0.9246138281946836,0.9246138281946835,-0.9246138281946836,1.3473851414542397,1.3473851414542397,1.52226213530206,9.020625560522706e-14
35,0.9410982668945443,-0.9410982668945442,0.9410982668945442,-0.9410982668945443,1.3602949316702044,1.360294931670222,1.5370024898131587,3.674895342623698e-13
36,0.9563242300793542,-0.9563242300793542,0.9563242300793542,-0.9563242300793542,1.37302452763756,1.373024527637549,1.5511289213696369,1.4304411631759857e-12
37,0.9700303322295031,-0.9700303322295032,0.9700303322295031,-0.9700303322295031,1.3851826300197871,1.385182630019823,1.5643059152131171,4.117935838413888e-12
38,0.9818389438179742,-0.9818389438179742,0.9818389438179742,-0.9818389438179742,1.3962075108300953,1.3962075108300964,1.5760378322885138,8.312913193166775e-12
39,0.9912157531945436,-0.9912157531945434,0.9912157531945436,-0.9912157531945437,1.4053344570661577,1.4053344570662403,1.585621621861168,1.0029328862833977e-11
40,0.997481316231263,-0.997481316231263,0.997481316231263,-0.9974813162312631,1.411626954055153,1.4116269540556377,1.5921662338453826,1.4398129433318986e-11
41,0.9999747944231162,-0.9999747944231164,0.9999747944231163,-0.9999747944231161,1.414186857297552,1.4141868560680406,1.5948043397180205,3.190153377078708e-11
42,0.9999994355212665,-0.9999994355212662,0.9999994355212665,-0.9999994355212667,1.4142129678690636,1.4142129623818305,1.5948304904662052,9.58867518684575e-16
