stage,fraction,step,target_amplitude,tensor_residual,max_abs_amplitude
0,0.8,0,1.2372662330694784,1.665479236847913,5.15817875301892
0,0.8,50,1.2372662330694784,0.0886528487909591,4.931257414161
0,0.8,100,1.2372662330694784,0.020389200701841043,4.97998687713804
0,0.8,150,1.2372662330694784,0.013382022186267257,5.017549972119614
0,0.8,200,1.2372662330694784,0.02713792732952916,5.040864641241126
0,0.8,250,1.2372662330694784,0.013961913715521652,5.054331507598728
0,0.8,300,1.2372662330694784,0.010717368298610471,5.062670816723732
0,0.8,350,1.2372662330694784,0.012515629420003675,5.062960820768566
0,0.8,400,1.2372662330694784,0.025501302588936105,5.067680131727081
0,0.8,450,1.2372662330694784,0.03522867051205176,5.064178473236057
0,0.8,500,1.2372662330694784,0.020481706857141672,5.06090350202296
0,0.8,550,1.2372662330694784,0.036532656692810944,5.054619457101591
0,0.8,600,1.2372662330694784,0.022404513937402826,5.046233621632963
0,0.8,650,1.2372662330694784,0.03950760468666533,5.044122145448223
0,0.8,699,1.2372662330694784,0.06272258345792908,5.030078211142092
1,0.6,0,0.9279496748021088,0.2969106362073226,5.031231001761178
1,0.6,50,0.9279496748021088,0.12630506380021306,5.09007854891669
1,0.6,100,0.9279496748021088,0.11770533428229554,5.1519587928116115
1,0.6,150,0.9279496748021088,0.1169008498794493,5.206334141842257
1,0.6,200,0.9279496748021088,0.09334347717776603,5.231555027172794
1,0.6,250,0.9279496748021088,0.10193912077641912,5.26768613017598
1,0.6,300,0.9279496748021088,0.07981513173677134,5.283202891625019
1,0.6,350,0.9279496748021088,0.09620830593830768,5.287162628938984
1,0.6,400,0.9279496748021088,0.18444246979976262,5.312149159020623
1,0.6,450,0.9279496748021088,0.11363758238874476,5.3164834134704915
1,0.6,500,0.9279496748021088,0.07546207833707583,5.276715434152208
1,0.6,550,0.9279496748021088,0.09195042134492626,5.300849456341074
1,0.6,600,0.9279496748021088,0.12894745549265377,5.319024635900768
1,0.6,650,0.9279496748021088,0.07422210046831172,5.295238326688736
1,0.6,699,0.9279496748021088,0.08039151065983467,5.294610676634932
2,0.4,0,0.6186331165347392,0.3834648426008531,5.295154374359225
2,0.4,50,0.6186331165347392,0.43871644334210036,5.308448741097014
2,0.4,100,0.6186331165347392,0.38185706804448943,5.2648909881314605
2,0.4,150,0.6186331165347392,0.385154056392547,5.283649616783575
2,0.4,200,0.6186331165347392,0.4007854109821733,5.300975417755468
2,0.4,250,0.6186331165347392,0.38202018440567354,5.288649663453055
2,0.4,300,0.6186331165347392,0.38686768110403724,5.268591619663991
2,0.4,350,0.6186331165347392,0.3977738824214089,5.28275481689638
2,0.4,400,0.6186331165347392,0.3852328918649477,5.272447491211998
2,0.4,450,0.6186331165347392,0.38218424683344643,5.248689777456324
2,0.4,500,0.6186331165347392,0.3824823096625136,5.253869303914873
2,0.4,550,0.6186331165347392,0.3881889544528448,5.249475795259673
2,0.4,600,0.6186331165347392,0.38211357923534184,5.265488487964474
2,0.4,650,0.6186331165347392,0.3823650358073393,5.225800688380056
2,0.4,699,0.6186331165347392,0.38944499311087954,5.240614259829708
3,0.2,0,0.3093165582673696,0.694113100931888,5.239250889155377
3,0.2,50,0.3093165582673696,0.6960904383726567,5.2560405050671495
3,0.2,100,0.3093165582673696,0.6909871817091426,5.236429454765793
3,0.2,150,0.3093165582673696,0.6922262440776218,5.232112756921192
3,0.2,200,0.3093165582673696,0.692185067471811,5.2247441072319845
3,0.2,250,0.3093165582673696,0.6935532122607452,5.219490652084407
3,0.2,300,0.3093165582673696,0.6916691627097041,5.218431851036038
3,0.2,350,0.3093165582673696,0.6953311556234185,5.21337431670678
3,0.2,400,0.3093165582673696,0.6945069015848356,5.217194777886819
3,0.2,450,0.3093165582673696,0.6910172772770719,5.191068919278246
3,0.2,500,0.3093165582673696,0.6996088221014173,5.199397535885826
3,0.2,550,0.3093165582673696,0.6908320117752564,5.1941107255355465
3,0.2,600,0.3093165582673696,0.6910804676101965,5.1842334175140286
3,0.2,650,0.3093165582673696,0.6927554830875501,5.179215776109947
3,0.2,699,0.3093165582673696,0.6915758445319568,5.191865519547594
4,0.0,0,0.0,1.0009000264015453,5.192343794097744
4,0.0,50,0.0,1.0002828483744126,5.178161767688148
4,0.0,100,0.0,1.001782478202082,5.156544498481181
4,0.0,150,0.0,1.001038544339008,5.164945610714663
4,0.0,200,0.0,1.004917137694094,5.170160979584199
4,0.0,250,0.0,1.0007641665397011,5.162878295945467
4,0.0,300,0.0,1.0035791173447222,5.159629044408756
4,0.0,350,0.0,1.0040266074323803,5.173932907285555
4,0.0,400,0.0,1.0001447200704465,5.1619437980734775
4,0.0,450,0.0,1.0011804446277717,5.136006011767022
4,0.0,500,0.0,1.003786186759198,5.154960643166835
4,0.0,550,0.0,1.0014206723013952,5.147745343140166
4,0.0,600,0.0,1.0001564499229427,5.149358456878138
4,0.0,650,0.0,1.0017114485929641,5.119006514005175
4,0.0,700,0.0,1.0010476508715296,5.140115962461215
4,0.0,750,0.0,1.0002044897149849,5.130512170871644
4,0.0,800,0.0,1.0380999053625377,5.152787394142675
4,0.0,850,0.0,1.0002065337489305,5.113471153279982
4,0.0,900,0.0,1.0000490642870372,5.150441518570753
4,0.0,950,0.0,1.0004644572864914,5.0858502210623895
4,0.0,1000,0.0,1.0000996339001207,5.118111665422174
4,0.0,1050,0.0,1.0004143389120173,5.120397783119372
4,0.0,1100,0.0,1.013313659726702,5.135620951535082
4,0.0,1150,0.0,1.0001319872493613,5.110365992849621
4,0.0,1200,0.0,1.0021807488501455,5.104079276380332
4,0.0,1250,0.0,1.0000728548820224,5.118688932733196
4,0.0,1300,0.0,1.0007995507147256,5.070220273275812
4,0.0,1350,0.0,1.0007403498616685,5.102102251911589
4,0.0,1400,0.0,1.0001577680250098,5.103450404092295
4,0.0,1450,0.0,1.0089021587160285,5.13452904740859
4,0.0,1500,0.0,1.000120149416408,5.111993328495954
4,0.0,1550,0.0,1.002797583956231,5.081334859035474
4,0.0,1600,0.0,1.0000731484536445,5.10218535260798
4,0.0,1650,0.0,1.000822156548388,5.077042386243748
4,0.0,1700,0.0,1.0008673361541898,5.110703859973525
4,0.0,1750,0.0,1.0002658267968108,5.067963658311929
4,0.0,1800,0.0,1.0111233890586213,5.107435315089251
4,0.0,1850,0.0,1.0005513538994002,5.112515388565437
4,0.0,1900,0.0,1.0001454209627312,5.081808402030917
4,0.0,1950,0.0,1.0133270874549019,5.086008101203494
4,0.0,2000,0.0,1.0001278618097933,5.049726423040432
4,0.0,2050,0.0,1.0005266141798046,5.0701080189394245
4,0.0,2100,0.0,1.0000738697560196,5.102462770524446
4,0.0,2150,0.0,1.000888457004315,5.073626861146116
4,0.0,2200,0.0,1.0057405776702983,5.091596836420988
4,0.0,2250,0.0,1.00525046042408,5.0988870731542075
4,0.0,2300,0.0,1.0001632921115786,5.064489328318338
4,0.0,2350,0.0,1.0081473261506864,5.0711319880302765
4,0.0,2400,0.0,1.0000680388570555,5.0791823669274825
