iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,6,1.739377587012035,0.7030470077944949,3.8670108315407435e-15,610,34,0.06276298532580343,4.487457171298847,0.05
1,6,1.6893775870120349,0.6852803982369817,1.1263239844812421e-13,610,34,0.0644837062335642,4.485832581174651,0.05
2,6,1.6393775870120348,0.6654546377974618,1.969481613092637e-13,610,34,0.06627848511007083,4.483980211777837,0.05
3,6,1.5893775870120348,0.6431845064182191,4.0936899620792516e-13,610,34,0.06813931544945603,4.4818690085085136,0.05
4,6,1.5393775870120348,0.6180136415111093,8.378701215910644e-13,610,34,0.07002461318533508,4.479467395920719,0.05
5,6,1.4893775870120347,0.589397330988975,1.7685543919859379e-12,610,34,0.07154684184646293,4.4767442807622935,0.05
6,6,1.4393775870120347,0.5566789910503633,4.20235121795188e-12,610,34,0.0661401474894763,4.473672616431626,0.05
7,6,1.3893775870120346,0.51905737787484,1.2071869065118016e-11,610,34,0.056546349940828584,4.470241123160855,0.05
8,6,1.3393775870120346,0.4755401912277963,5.772340005577573e-11,610,34,0.05338116007167224,4.466486741348228,0.05
9,6,1.2893775870120345,0.42488178082184047,4.409159626683332e-15,610,34,0.06055816788128906,4.462561329982829,0.05
10,6,1.2393775870120345,0.3655275715423302,4.056741974312009e-15,610,34,0.07552825613913458,4.45881171491428,0.05
11,6,1.1893775870120344,0.29574374801082054,5.195028600546942e-15,610,34,0.081408138326839,4.456051522466987,0.05
12,6,1.1393775870120344,0.21517992941768013,4.687664522574808e-13,610,34,0.08117880597135255,4.458433318157616,0.05
13,6,1.0893775870120344,0.13664160184576515,4.197503176583317e-15,610,34,0.08082711898860938,4.483829368911273,0.05
14,6,1.0393775870120343,0.0871690304910119,3.740609365781895e-15,610,34,0.08058419543730867,4.6042967949356335,0.05
15,6,1.03,0.0706527100047865,5.574488085484529e-13,610,34,0.08078175937386525,4.642121696122891,0.012190863115644568
