generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
0,23,0,-1,genericity+deletion+death,1,35.99999999999977,1.0033246153628101,2.5079245152029053,initial
1,23,0,-1,genericity,2,35.99999999999977,1.0033246153628101,2.5079245152029057,initial
1,23,12,0,deletion,1,35.99999999999977,1.0013698120413808,2.4102104356487275,exact_hop
1,23,13,0,death,1,35.99999999999977,1.0026994358318408,1.926503558407568,exact_hop
2,23,0,-1,genericity,3,35.99999999999977,1.0033246153628101,2.5079245152029057,initial
2,23,47,12,deletion,1,35.99999999999977,1.0005655138962388,2.1753662886735636,off_manifold_hop
2,23,13,0,death,2,35.99999999999977,1.0026994358318408,1.926503558407568,exact_hop
3,23,78,0,genericity,1,35.99999999999966,1.0043596572358107,2.3560443087830247,off_manifold_hop
3,23,47,12,deletion,2,35.99999999999977,1.0005655138962388,2.1753662886735614,off_manifold_hop
3,23,91,47,death,1,35.99999999999977,1.0006757719579962,1.9227818025298073,exact_hop
3,23,74,0,explore,1,35.99999999999977,1.019036153042786,2.7107173186420073,exact_hop
4,23,78,0,genericity,2,35.99999999999966,1.0043596572358107,2.356044308783023,off_manifold_hop
4,23,123,78,deletion,1,35.99999999999966,0.7204128904671685,2.5317704445504985,off_manifold_hop
4,23,137,47,death,1,35.99999999999977,1.0002706817040785,1.90207968056842,exact_hop
5,23,197,123,genericity,1,35.99999999999966,1.009867458922154,2.763918868433096,exact_hop
5,23,200,123,deletion,1,35.99999999999966,0.6250260892256704,2.3799929407410945,off_manifold_hop
5,23,137,47,death,2,35.99999999999977,1.0002706817040785,1.9020796805684197,exact_hop
6,23,137,47,genericity+death,3,35.99999999999966,1.0002706817040785,1.9020796805684164,exact_hop
6,23,200,123,deletion,2,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
6,23,227,197,explore,1,35.99999999999966,1.0014824017968675,2.2031313915726196,exact_hop
6,23,78,0,explore,3,35.99999999999977,1.0043596572358107,2.356044308783024,off_manifold_hop
7,23,200,123,genericity+deletion,3,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
7,23,137,47,death,4,35.99999999999977,1.0002706817040785,1.9020796805684197,exact_hop
7,23,319,78,explore,1,35.99999999999977,1.004105685783551,2.6633470060359214,exact_hop
8,23,353,137,genericity,1,35.00000000000318,1.0104928222394611,2.6770599511291735,off_manifold_hop
8,23,200,123,deletion,4,35.99999999999966,0.6250260892256704,2.3799929407410976,off_manifold_hop
8,23,351,137,death,1,35.99999999999966,1.000878762733381,1.8999986254593921,exact_hop
9,23,379,353,genericity,1,35.00000000001614,1.0104123511937695,3.0287908167833244,exact_hop
