trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,1.0179674367176643e-15,True,1.4839886856415627e-11,1.7911102322801074,True,34,33.99999999978104,2.1873347577638924e-10,2.4620018358553617,7.546901015692822
0,1.0,2.5,1.0179674367176643e-15,True,5.042298249781985e-15,1.543468428554504,True,34,33.99999999999943,3.410605131648481e-13,2.7468405908359994,7.938322669207213
1,-1.0,2.5,1.1888507971086937e-15,True,2.095057248124633e-14,3.922062969862397,True,34,33.99999999999943,3.410605131648481e-13,2.099407049984423,7.876494496612904
1,1.0,2.5,1.1888507971086937e-15,True,6.288427636520539e-15,3.900606588802671,False,34,34.00000000001012,-1.0345502232667059e-11,3.2532186094953883,8.018517953859515
2,-1.0,2.5,1.1714696424684966e-15,True,5.595442470209869e-15,1.6651138502701528,True,34,33.999999999999545,2.2737367544323206e-13,3.5119566008029457,7.98871988177451
2,1.0,2.5,1.1714696424684966e-15,True,6.328963663990075e-15,2.1651747955533867,True,34,34.0,-2.2737367544323206e-13,2.1885331347413826,7.543727615879097
3,-1.0,2.5,1.183246720860196e-15,True,2.0638071443496017e-13,3.0122333127648706,True,34,34.000000000001364,-1.5916157281026244e-12,3.2660552242445178,7.516222483323904
3,1.0,2.5,1.183246720860196e-15,True,7.566569795868195e-15,3.6225984667558473,True,34,33.99999999999966,1.1368683772161603e-13,2.1338215037479036,7.483989726524913
4,-1.0,2.5,1.0855640671629468e-15,True,5.542488112696766e-13,2.473589506873207,True,34,33.99999999999022,9.549694368615746e-12,2.28268611696132,7.27571578826844
4,1.0,2.5,1.0855640671629468e-15,True,3.90388847890023e-11,1.8832133539395444,True,34,33.99999999834279,1.6569856597925536e-09,3.1832237508924943,7.501400280339665
