trial,sign,radius,obstruction,converged,constraint_residual,correction_norm
0,-1.0,2.5,1.833357892543028e-12,False,0.7138970462108286,0.0
0,1.0,2.5,1.833357892543028e-12,False,0.678572588087382,0.0
1,-1.0,2.5,3.669140744160078e-12,False,0.8248773293182857,0.0
1,1.0,2.5,3.669140744160078e-12,False,0.775036198508081,0.0
2,-1.0,2.5,2.397437003908913e-12,False,1.2437605359888917,0.0
2,1.0,2.5,2.397437003908913e-12,False,1.2372488921607903,0.0
3,-1.0,2.5,1.4958372220895679e-12,False,1.2827860763931938,0.0
3,1.0,2.5,1.4958372220895679e-12,False,1.2813822368126748,0.0
4,-1.0,2.5,1.3704552931228241e-12,False,0.916294168276604,0.0
4,1.0,2.5,1.3704552931228241e-12,False,0.8491236412721469,0.0
