iteration,channel,amplitude,killability,residual,jacobian_rank,tangent_dim,sigma_min_positive,max_abs_amplitude,amp_step
0,10,1.3649997774087965,0.6755788773723583,3.1756306159897867e-15,636,64,0.003772841521097332,4.983659322303206,0.05
1,10,1.3149997774087965,0.6434693724689757,1.423261440617375e-12,636,64,0.0005286461175993618,4.988822104547431,0.05
2,10,1.2649997774087964,0.6037626685351996,3.2020606240580547e-12,636,64,0.005373738521908874,4.99427768320392,0.05
3,10,1.2149997774087964,0.5542677076946237,2.9207454700264994e-15,636,64,0.010830414020049587,5.001247888213563,0.05
4,10,1.1649997774087963,0.49172549822830824,3.585677493324993e-15,636,64,0.016937272222934896,5.010340642889974,0.05
5,10,1.1149997774087963,0.410582842816168,3.4347133824434323e-15,636,64,0.024296944233110202,5.024552176119072,0.05
6,10,1.0649997774087963,0.298410970389161,7.815301972731001e-14,636,64,0.033775839732052886,5.055422692614031,0.05
7,10,1.0474998887043983,0.24636525062667064,2.803905313957021e-13,636,64,0.03820083246470441,5.068847343663516,0.02274985531571755
8,10,1.0387499443521993,0.21605365154442688,3.155525065148273e-15,636,64,0.04080928101860964,5.074411145451426,0.011374927657858847
9,10,1.03,0.18131707747243422,4.088494889664593e-15,636,64,0.04378366068144747,5.078677347183704,0.011374927657858991
