image,t,residual,rank_channels,active_at_1e_10,local_a0,local_a7
0,0.0,0.0,27,27,1.0,1.0
1,0.03333333333333333,3.3222821603013066e-16,27,27,1.0000073965155323,1.0000073965155323
2,0.06666666666666667,1.5311473284303868e-16,27,27,1.000117837011627,1.000117837011627
3,0.1,5.589009303306962e-16,27,27,1.0005925262152247,1.0005925262152247
4,0.13333333333333333,3.1455244443442697e-16,27,27,1.0018565041948406,1.0018565041948406
5,0.16666666666666666,3.5432602840877383e-16,27,27,1.0044881979358382,1.0044881979358382
6,0.2,3.2723341043959784e-16,27,27,1.0092137944404993,1.0092137944404993
7,0.23333333333333334,3.501993828377392e-16,27,27,1.0169137481243626,1.0169137481243626
8,0.26666666666666666,5.493790098008703e-16,27,27,1.0286498018896677,1.0286498018896677
9,0.3,5.769722618006291e-16,27,27,1.045723080137249,1.045723080137249
10,0.3333333333333333,6.147092443495345e-16,27,27,1.069778949862942,1.069778949862942
11,0.36666666666666664,3.728969589373966e-16,27,27,1.1029855566415425,1.1029855566415425
12,0.4,7.28021923224409e-16,27,27,1.1483364844750448,1.1483364844750448
13,0.43333333333333335,2.830524433501838e-16,27,27,1.2101782464605617,1.2101782464605617
14,0.4666666666666667,3.1401849173675503e-16,27,27,1.2951766563357916,1.2951766563357916
15,0.5,6.280369834735101e-16,27,27,1.414213562373095,1.414213562373095
16,0.5333333333333333,6.353541660708338e-16,27,27,1.5084944665313014,1.319932658214889
17,0.5666666666666667,6.280369834735101e-16,27,27,1.6027753706895078,1.2256517540566825
18,0.6,6.353541660708338e-16,27,27,1.697056274847714,1.1313708498984762
19,0.6333333333333333,6.280369834735101e-16,27,27,1.7913371790059205,1.0370899457402698
20,0.6666666666666666,6.353541660708338e-16,27,27,1.8856180831641267,0.9428090415820636
21,0.7,6.638168205731153e-16,27,27,1.9798989873223332,0.8485281374238571
22,0.7333333333333334,6.280369834735101e-16,27,27,2.0741798914805396,0.7542472332656507
23,0.7666666666666667,6.353541660708338e-16,27,27,2.168460795638746,0.6599663291074442
24,0.8,6.298742481986151e-16,27,27,2.2627416997969525,0.5656854249492378
25,0.8333333333333334,6.298742481986151e-16,27,27,2.3570226039551585,0.4714045207910318
26,0.8666666666666667,6.280369834735101e-16,27,27,2.451303508113365,0.37712361663282534
27,0.9,6.098336431037363e-16,27,27,2.5455844122715714,0.2828427124746189
28,0.9333333333333333,6.298742481986151e-16,27,27,2.639865316429778,0.18856180831641245
29,0.9666666666666667,6.309053583987316e-16,27,27,2.734146220587984,0.09428090415820645
30,1.0,6.280369834735101e-16,27,26,2.8284271247461903,0.0
