generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
0,26,0,-1,genericity+deletion+death,1,135.0,0.38685319520924943,2.7192774713507473,initial
1,26,11,0,genericity+deletion,1,64.56460809056784,0.07392837825093222,2.590535074625532,exact_hop
1,26,14,0,death,1,80.00000646448268,1.0000219252147757,2.224980168713658,off_manifold_hop
1,26,12,0,explore,1,72.00000146389311,0.10760299246443492,2.4704950836254613,exact_hop
2,26,11,0,genericity,2,64.56460809193311,0.07392837825093222,2.5905350740135344,exact_hop
2,26,59,12,deletion,1,70.00000000090859,0.030696429569390428,2.2204998445974615,off_manifold_hop
2,26,43,14,death,1,82.00000000113823,1.0001488384613215,1.9372897189310496,exact_hop
3,26,11,0,genericity,3,64.5646080920751,0.07392837825093222,2.590535076785035,exact_hop
3,26,59,12,deletion,2,70.00000000090859,0.030696429569390428,2.220499844597463,off_manifold_hop
3,26,43,14,death,2,82.00000000113823,1.0001488384613215,1.9372897189310487,exact_hop
3,26,0,-1,explore,2,135.0000000000001,0.38685319520924943,2.7192774713507477,initial
4,26,119,11,genericity,1,64.00000198351006,1.0000120476598204,2.0771052670425316,off_manifold_hop
4,26,134,59,deletion,1,72.00000000003729,0.027299584943864308,2.065978973341873,off_manifold_hop
4,26,132,59,death,1,78.00000000004445,0.05579808198817549,1.8944632160747408,exact_hop
5,26,172,119,genericity,1,67.22271924759616,0.9967814224997309,2.1932945013029044,exact_hop
5,26,189,134,deletion,1,77.00000000053558,0.021697116414338538,2.256112688066581,off_manifold_hop
5,26,132,59,death,2,78.00000000004445,0.05579808198817549,1.894463216074743,exact_hop
6,26,215,172,genericity,1,66.00000000013802,0.9876143674475516,2.3444327433625594,exact_hop
6,26,226,189,deletion,1,77.00000000000159,0.012013588566086782,1.9632038709144104,exact_hop
6,26,132,59,death,3,78.00000000004445,0.05579808198817549,1.8944632160747423,exact_hop
6,26,0,-1,explore,3,135.0000000000001,0.38685319520924943,2.7192774713507477,initial
7,26,255,215,genericity,1,66.00000000012176,0.06550327970662184,2.2413758653787648,exact_hop
7,26,226,189,deletion,2,77.00000000000159,0.012013588566086782,1.9632038709144088,exact_hop
7,26,270,226,death,1,77.00000000000114,0.03255072065439179,1.8776357802718575,exact_hop
8,26,311,255,genericity,1,65.00000000016416,0.07211977747372303,2.226836274795484,exact_hop
8,26,226,189,deletion,3,77.00000000000159,0.012013588566086782,1.9632038709144093,exact_hop
8,26,270,226,death,2,77.00000000000114,0.03255072065439179,1.8776357802718566,exact_hop
9,26,347,311,genericity,1,65.00000000046612,0.04505047762666811,2.2140775679778715,wall:amplitude_wall
9,26,226,189,deletion,4,77.00000000000159,0.012013588566086782,1.9632038709144088,exact_hop
9,26,270,226,death,3,77.00000000000114,0.03255072065439179,1.8776357802718588,exact_hop
9,26,0,-1,explore,4,135.0000000000001,0.38685319520924943,2.7192774713507477,initial
10,26,386,347,genericity,1,65.00000000071918,1.0000744351636566,2.201411842110613,exact_hop
10,26,226,189,deletion,5,77.00000000000159,0.012013588566086782,1.9632038709144093,exact_hop
10,26,270,226,death,4,77.00000000000114,0.03255072065439179,1.877635780271858,exact_hop
11,26,445,386,genericity,1,64.00000540393239,0.6549672677545808,2.1254335014965213,off_manifold_hop
11,26,226,189,deletion,6,77.00000000000159,0.012013588566086782,1.9632038709144088,exact_hop
11,26,270,226,death,5,77.00000000000114,0.03255072065439179,1.8776357802718588,exact_hop
12,26,483,445,genericity,1,63.00002342845039,1.0001111779866865,2.041706166814673,exact_hop
12,26,226,189,deletion,7,77.00000000000159,0.012013588566086782,1.9632038709144093,exact_hop
12,26,270,226,death,6,77.00000000000114,0.03255072065439179,1.877635780271858,exact_hop
12,26,0,-1,explore,5,135.0000000000001,0.38685319520924943,2.7192774713507477,initial
13,26,524,483,genericity,1,62.00000001074352,0.9912331638177847,2.2163574747841643,exact_hop
13,26,226,189,deletion,8,77.00000000000159,0.012013588566086782,1.9632038709144088,exact_hop
13,26,270,226,death,7,77.00000000000114,0.03255072065439179,1.8776357802718588,exact_hop
14,26,524,483,genericity,2,62.00000001074352,0.9912331638177847,2.2163574747841497,exact_hop
14,26,226,189,deletion,9,77.00000000000159,0.012013588566086782,1.9632038709144093,exact_hop
14,26,589,226,death,1,79.0000000000224,0.05967525241239327,1.8302362627851914,exact_hop
15,26,619,524,genericity,1,64.70240624758151,0.9994717629537934,2.106602420385419,off_manifold_hop
15,26,226,189,deletion,10,77.00000000000159,0.012013588566086782,1.9632038709144088,exact_hop
15,26,589,226,death,2,79.0000000000224,0.05967525241239327,1.8302362627851918,exact_hop
15,26,0,-1,explore,6,135.0000000000001,0.38685319520924943,2.7192774713507477,initial
16,26,662,619,genericity,1,64.00000000657474,0.32217041591313733,2.013232063491703,off_manifold_hop
16,26,226,189,deletion,11,77.00000000000159,0.012013588566086782,1.9632038709144093,exact_hop
16,26,589,226,death,3,79.0000000000224,0.05967525241239327,1.830236262785194,exact_hop
17,26,708,662,genericity,1,64.00000000013245,0.2525457433232057,2.1058683429496288,exact_hop
17,26,723,226,deletion,1,78.00000000000318,0.011097116607776668,1.9797212024921524,off_manifold_hop
17,26,589,226,death,4,79.0000000000224,0.05967525241239327,1.8302362627851918,exact_hop
19,25,777,765,genericity+deletion+death,1,62.99999999997999,0.5867486432154727,2.363379893865818,drop_26_to_25
20,25,791,777,genericity,1,63.00000000000364,0.09113443556746921,2.165532385269546,exact_hop
20,25,790,777,deletion+death,1,63.000000000009095,0.0298619653485637,2.113598705235149,exact_hop
20,25,789,777,explore,1,63.00000000005684,0.9979128453826851,2.520481343138585,wall:amplitude_wall
22,24,840,790,genericity+deletion+death,1,45.00000000000318,1.0019155145174192,2.457337344408482,drop_25_to_24
23,24,856,840,genericity+deletion,1,45.0000000000025,0.14781798636795285,2.229019723421547,off_manifold_hop
23,24,853,840,death,1,45.00000000001012,1.000139636473053,2.0205291642186887,exact_hop
23,24,852,840,explore,1,45.000000000006594,1.0006524400532304,2.4966079385599818,exact_hop
