trial,sign,radius,obstruction,converged,constraint_residual,correction_norm,finite,tangent_dim,candidate_soft_nullity,soft_nullity_gain,best_death_distance,max_abs_amplitude
0,-1.0,2.5,7.149779501713946e-16,True,3.2344521966530587e-15,2.366137371365926,True,77,76.99999999999955,0.0,2.0602811234318192,3.87841659328222
0,1.0,2.5,7.149779501713946e-16,True,2.0834644016446194e-12,2.4410589027796292,True,77,76.99999999986062,1.389253156958148e-10,1.944128730081836,3.250179479560873
1,-1.0,2.5,8.135885628393969e-16,True,3.549876785817074e-12,3.076223046788557,True,77,76.9999999993106,6.889422365929931e-10,2.070964497718289,3.344738061573273
1,1.0,2.5,8.135885628393969e-16,True,2.634470327413742e-15,2.216303656309482,True,77,76.99999999999955,0.0,2.06331408794157,3.391067582468722
2,-1.0,2.5,7.399164336661174e-16,True,8.433436175526818e-11,5.237618886970915,True,78,77.99999987882165,-0.9999998788221092,2.0621694641722925,3.6634732090572286
2,1.0,2.5,7.399164336661174e-16,True,1.048955734022114e-14,2.4492109322490054,True,78,77.99999999963848,-0.9999999996389306,1.9650055499013368,3.600650070949107
3,-1.0,2.5,7.547744968083541e-16,True,2.4316465306914865e-15,6.084029571908407,True,77,76.99999999999966,-1.1368683772161603e-13,2.0806664440543154,3.6580736878579097
3,1.0,2.5,7.547744968083541e-16,True,2.060251289209478e-15,5.359688410678027,True,77,76.99999999999966,-1.1368683772161603e-13,1.98490811873968,3.1714559962952684
4,-1.0,2.5,7.862913821648637e-16,True,2.530386792293018e-12,5.370872347205297,True,77,76.99999999989984,9.970335668185726e-11,2.1250859271103075,3.319670317726909
4,1.0,2.5,7.862913821648637e-16,True,3.0345418716961825e-15,6.680932677096535,True,78,78.0,-1.0000000000004547,2.011177560903919,3.68833132983319
