trial,sign,stage,step,radius,shell_weight,obstruction,constraint_residual,distance_from_home,max_abs_amplitude,accepted,landing
0,-1.0,0,0,3.125,8.0,0.07613750549752911,1.1788514580626819,2.9862209581113586,2.813427126293549,False,relax
0,-1.0,0,50,3.125,8.0,0.07613750549752911,0.13511579366250706,3.1249536795681294,3.0499405168463616,False,relax
0,-1.0,0,100,3.125,8.0,0.07613750549752911,0.050548404413274434,3.12443279108543,3.1453588854549626,False,relax
0,-1.0,0,150,3.125,8.0,0.07613750549752911,0.03211902156426246,3.124746321643182,3.155873110084479,False,relax
0,-1.0,0,200,3.125,8.0,0.07613750549752911,0.0241032886019723,3.1248564278572775,3.1583037862819916,False,relax
0,-1.0,0,250,3.125,8.0,0.07613750549752911,0.019328597118225075,3.124904371748591,3.1611782360127734,False,relax
0,-1.0,0,300,3.125,8.0,0.07613750549752911,0.016432948198450755,3.1249112348387875,3.1643213503021603,False,relax
0,-1.0,0,349,3.125,8.0,0.07613750549752911,0.014287358129409032,3.1249760583533037,3.166670284354211,False,relax
0,-1.0,1,0,3.125,3.0,0.07613750549752911,0.014471445739242784,3.124931176277264,3.1667777571350397,False,relax
0,-1.0,1,50,3.125,3.0,0.07613750549752911,0.012336192507670308,3.1249054580620355,3.169811673701599,False,relax
0,-1.0,1,100,3.125,3.0,0.07613750549752911,0.02238405627397787,3.1249034912979847,3.1709510645829253,False,relax
0,-1.0,1,150,3.125,3.0,0.07613750549752911,0.00986546488819049,3.1249279543385287,3.17325085267466,False,relax
0,-1.0,1,200,3.125,3.0,0.07613750549752911,0.01204286663785367,3.124930388440771,3.1737299044747354,False,relax
0,-1.0,1,250,3.125,3.0,0.07613750549752911,0.039482512302017034,3.1247779359242402,3.1759655229155173,False,relax
0,-1.0,1,300,3.125,3.0,0.07613750549752911,0.03503168487947672,3.124989303836311,3.174884516537923,False,relax
0,-1.0,1,349,3.125,3.0,0.07613750549752911,0.0071957057098201325,3.124988465155654,3.1756214818942925,False,relax
0,-1.0,2,0,3.125,1.0,0.07613750549752911,0.007170007047647723,3.1249512931409096,3.1756836052402218,False,relax
0,-1.0,2,50,3.125,1.0,0.07613750549752911,0.007613488027555137,3.124905139713585,3.1746738344487393,False,relax
0,-1.0,2,100,3.125,1.0,0.07613750549752911,0.025994952034366168,3.1249208636288146,3.1731810569597285,False,relax
0,-1.0,2,150,3.125,1.0,0.07613750549752911,0.0090402015844131,3.124867376524344,3.1735795769205435,False,relax
0,-1.0,2,200,3.125,1.0,0.07613750549752911,0.016646418766579005,3.1248832890825313,3.172999948954311,False,relax
0,-1.0,2,250,3.125,1.0,0.07613750549752911,0.01600678934371217,3.1249643362170603,3.1721318673234635,False,relax
0,-1.0,2,300,3.125,1.0,0.07613750549752911,0.005033855009447326,3.124957985704879,3.1719276340948954,False,relax
0,-1.0,2,349,3.125,1.0,0.07613750549752911,0.015192726010446913,3.124868460330262,3.1683329322425204,False,relax
0,-1.0,3,0,3.125,0.3,0.07613750549752911,0.014153553166421893,3.124859837385319,3.168460285608948,False,relax
0,-1.0,3,50,3.125,0.3,0.07613750549752911,0.046439586960551595,3.1246517240836154,3.1684363239068203,False,relax
0,-1.0,3,100,3.125,0.3,0.07613750549752911,0.011775558094285198,3.124901329560903,3.167045885460515,False,relax
0,-1.0,3,150,3.125,0.3,0.07613750549752911,0.007507456144063889,3.124848813379221,3.166106699559181,False,relax
0,-1.0,3,200,3.125,0.3,0.07613750549752911,0.007258450091025531,3.1246649065104757,3.1636986190170058,False,relax
0,-1.0,3,250,3.125,0.3,0.07613750549752911,0.017478196558394797,3.1234054887573794,3.1574635447447883,False,relax
0,-1.0,3,300,3.125,0.3,0.07613750549752911,0.02399092285441723,3.124866209857927,3.1593213472462223,False,relax
0,-1.0,3,349,3.125,0.3,0.07613750549752911,0.004098694876982915,3.1249737155824766,3.1581826182778774,False,relax
0,-1.0,-1,-1,3.125,0.0,0.07613750549752911,0.00027781035234465093,3.171947263827809,nan,False,exact_free
0,1.0,0,0,3.125,8.0,0.07613750549752911,1.1746084794020035,2.9877531529942805,2.8134271259570474,False,relax
0,1.0,0,50,3.125,8.0,0.07613750549752911,0.13131172983511957,3.1224720069658747,2.956191318358917,False,relax
0,1.0,0,100,3.125,8.0,0.07613750549752911,0.05516784831327956,3.12435227071297,3.0308114800487385,False,relax
0,1.0,0,150,3.125,8.0,0.07613750549752911,0.03787856396079693,3.1246353477271107,3.0402555918897667,False,relax
0,1.0,0,200,3.125,8.0,0.07613750549752911,0.02904910968410009,3.1247777534546812,3.0453426205612937,False,relax
0,1.0,0,250,3.125,8.0,0.07613750549752911,0.02417995264982992,3.124852275738134,3.048285705311416,False,relax
0,1.0,0,300,3.125,8.0,0.07613750549752911,0.019675030620295214,3.124900461393543,3.050877507344194,False,relax
0,1.0,0,349,3.125,8.0,0.07613750549752911,0.01734266148932471,3.124910738873025,3.0526124084072266,False,relax
0,1.0,1,0,3.125,3.0,0.07613750549752911,0.017218032694074823,3.124871714209177,3.052651751590492,False,relax
0,1.0,1,50,3.125,3.0,0.07613750549752911,0.014857778170556795,3.1248304279214514,3.0545256469621758,False,relax
0,1.0,1,100,3.125,3.0,0.07613750549752911,0.013717880919504356,3.124837672707578,3.055442700827728,False,relax
0,1.0,1,150,3.125,3.0,0.07613750549752911,0.012725789781990961,3.1249185064933247,3.056856713263276,False,relax
0,1.0,1,200,3.125,3.0,0.07613750549752911,0.02117214782032702,3.1250087684954058,3.0581334571892267,False,relax
0,1.0,1,250,3.125,3.0,0.07613750549752911,0.010544780883060318,3.124936546623475,3.058519550802828,False,relax
0,1.0,1,300,3.125,3.0,0.07613750549752911,0.022730920128220422,3.1249410197870446,3.0585845681799264,False,relax
0,1.0,1,349,3.125,3.0,0.07613750549752911,0.008451224545786486,3.124972952428085,3.0592712115702243,False,relax
0,1.0,2,0,3.125,1.0,0.07613750549752911,0.008272707275165462,3.1249162167070863,3.0592924846568987,False,relax
0,1.0,2,50,3.125,1.0,0.07613750549752911,0.010738528705507781,3.1249010217287765,3.058959750658718,False,relax
0,1.0,2,100,3.125,1.0,0.07613750549752911,0.0213404844872599,3.1247890947299086,3.0603156361926995,False,relax
0,1.0,2,150,3.125,1.0,0.07613750549752911,0.01706114964041854,3.124908979508554,3.0599666919382438,False,relax
0,1.0,2,200,3.125,1.0,0.07613750549752911,0.008780915882921052,3.1249084527695805,3.0595196061835415,False,relax
0,1.0,2,250,3.125,1.0,0.07613750549752911,0.016178873874316737,3.1248501509674496,3.0594154982628896,False,relax
